item,sector,region,policy,value,co2p,scc
emissions_abs,all,EUR,ABR,2.8551430021405375,0,250
emissions_abs,all,EUR,ibr,2.8551430021405375,0,250
emissions_abs,all,EUR,bcr,2.8551430021405375,0,250
emissions_abs,all,OG20,LSR,4.403794591278419,0,250
emissions_abs,all,OG20,OBR,4.403794591278419,0,250
emissions_abs,all,OG20,ABR,4.403794591278419,0,250
emissions_abs,all,OG20,ibr,4.403794591278419,0,250
emissions_abs,all,OG20,bcr,4.403794591278419,0,250
emissions_abs,all,ROW,LSR,7.425859084755219,0,250
emissions_abs,all,ROW,OBR,7.425859084755219,0,250
emissions_abs,all,ROW,ABR,7.425859084755219,0,250
emissions_abs,all,ROW,ibr,7.425859084755219,0,250
emissions_abs,all,ROW,bcr,7.425859084755219,0,250
CO2 price,EITE,chn,LSR,1.000180870486231e-6,25,250
CO2 price,EITE,chn,OBR,1.0001758091454019e-6,25,250
CO2 price,EITE,chn,ABR,1.0002095232138749e-6,25,250
CO2 price,EITE,chn,ibr,1.000164122574543e-6,25,250
CO2 price,EITE,chn,bcr,1.0001635840753446e-6,25,250
CO2 price,EITE,ind,LSR,1.0004248922401117e-6,25,250
CO2 price,EITE,ind,OBR,1.000404524179658e-6,25,250
CO2 price,EITE,ind,ABR,1.0005365107248365e-6,25,250
CO2 price,EITE,ind,ibr,1.0003795380106572e-6,25,250
CO2 price,EITE,ind,bcr,1.0003782346541521e-6,25,250
CO2 price,EITE,usa,LSR,25.000000992573966,25,250
CO2 price,EITE,usa,OBR,25.000000993075076,25,250
CO2 price,EITE,usa,ABR,117.22091502514166,25,250
CO2 price,EITE,usa,ibr,133.3878590593647,25,250
CO2 price,EITE,usa,bcr,118.3684347010237,25,250
CO2 price,EITE,EUR,LSR,1.0003770712936728e-6,25,250
CO2 price,EITE,EUR,OBR,1.0003703886673666e-6,25,250
CO2 price,EITE,EUR,ABR,1.0004409903165534e-6,25,250
CO2 price,EITE,EUR,ibr,1.0004013444428182e-6,25,250
CO2 price,EITE,EUR,bcr,1.0003945976157734e-6,25,250
CO2 price,EITE,OG20,LSR,1.0004173534289465e-6,25,250
CO2 price,EITE,OG20,OBR,1.000429995752941e-6,25,250
CO2 price,EITE,OG20,ABR,1.0004578531294017e-6,25,250
CO2 price,EITE,OG20,ibr,1.0004952857641664e-6,25,250
CO2 price,EITE,OG20,bcr,1.0004851165365086e-6,25,250
CO2 price,EITE,ROW,LSR,1.0001200675004372e-6,25,250
CO2 price,EITE,ROW,OBR,1.0001418140721274e-6,25,250
CO2 price,EITE,ROW,ABR,1.0000563416076835e-6,25,250
CO2 price,EITE,ROW,ibr,1.0001539930220091e-6,25,250
CO2 price,EITE,ROW,bcr,1.0001517492560783e-6,25,250
CO2 price,non-EITE,chn,LSR,1.0001808704862308e-6,25,250
CO2 price,non-EITE,chn,OBR,1.0001758091454019e-6,25,250
CO2 price,non-EITE,chn,ABR,1.0002095232138749e-6,25,250
CO2 price,non-EITE,chn,ibr,1.0001641225745427e-6,25,250
CO2 price,non-EITE,chn,bcr,1.0001635840753446e-6,25,250
CO2 price,non-EITE,ind,LSR,1.0004248922401115e-6,25,250
CO2 price,non-EITE,ind,OBR,1.000404524179658e-6,25,250
CO2 price,non-EITE,ind,ABR,1.0005365107248365e-6,25,250
CO2 price,non-EITE,ind,ibr,1.000379538010657e-6,25,250
CO2 price,non-EITE,ind,bcr,1.0003782346541525e-6,25,250
CO2 price,non-EITE,usa,LSR,25.000000992573963,25,250
CO2 price,non-EITE,usa,OBR,25.00000099307508,25,250
CO2 price,non-EITE,usa,ABR,25.00000099101208,25,250
CO2 price,non-EITE,usa,ibr,25.000000992917997,25,250
CO2 price,non-EITE,usa,bcr,25.000000992950348,25,250
CO2 price,non-EITE,EUR,LSR,1.0003770712936726e-6,25,250
CO2 price,non-EITE,EUR,OBR,1.0003703886673666e-6,25,250
CO2 price,non-EITE,EUR,ABR,1.0004409903165534e-6,25,250
CO2 price,non-EITE,EUR,ibr,1.000401344442818e-6,25,250
CO2 price,non-EITE,EUR,bcr,1.0003945976157734e-6,25,250
CO2 price,non-EITE,OG20,LSR,1.0004173534289467e-6,25,250
CO2 price,non-EITE,OG20,OBR,1.000429995752941e-6,25,250
CO2 price,non-EITE,OG20,ABR,1.000457853129402e-6,25,250
CO2 price,non-EITE,OG20,ibr,1.0004952857641668e-6,25,250
CO2 price,non-EITE,OG20,bcr,1.0004851165365088e-6,25,250
CO2 price,non-EITE,ROW,LSR,1.0001200675004372e-6,25,250
CO2 price,non-EITE,ROW,OBR,1.0001418140721276e-6,25,250
CO2 price,non-EITE,ROW,ABR,1.0000563416076838e-6,25,250
CO2 price,non-EITE,ROW,ibr,1.0001539930220091e-6,25,250
CO2 price,non-EITE,ROW,bcr,1.0001517492560783e-6,25,250
Output,EITE,chn,LSR,0.021324770426733863,25,250
Output,EITE,chn,OBR,0.0018534177032014654,25,250
Output,EITE,chn,ABR,0.0741097424437509,25,250
Output,EITE,chn,ibr,0.004220636177576509,25,250
Output,EITE,chn,bcr,0.003001095118948527,25,250
Output,EITE,ind,LSR,0.09695305379557873,25,250
Output,EITE,ind,OBR,0.05582141820283937,25,250
Output,EITE,ind,ABR,0.23880700068494853,25,250
Output,EITE,ind,ibr,0.06442706856553126,25,250
Output,EITE,ind,bcr,0.061430865455003314,25,250
Output,EITE,usa,LSR,-1.330173573277127,25,250
Output,EITE,usa,OBR,-0.962322846057917,25,250
Output,EITE,usa,ABR,-2.6480076448068823,25,250
Output,EITE,usa,ibr,-1.253172582417017,25,250
Output,EITE,usa,bcr,-1.2162495527413442,25,250
Output,EITE,EUR,LSR,0.09460185324565717,25,250
Output,EITE,EUR,OBR,0.021816789988138297,25,250
Output,EITE,EUR,ABR,0.32486620941123423,25,250
Output,EITE,EUR,ibr,0.04912807368357974,25,250
Output,EITE,EUR,bcr,0.04297325052156076,25,250
Output,EITE,OG20,LSR,0.22646232748269046,25,250
Output,EITE,OG20,OBR,0.14579410348798394,25,250
Output,EITE,OG20,ABR,0.48753448016101153,25,250
Output,EITE,OG20,ibr,0.18761445949022626,25,250
Output,EITE,OG20,bcr,0.17821301582157112,25,250
Output,EITE,ROW,LSR,0.17708874004622732,25,250
Output,EITE,ROW,OBR,0.11437234337901003,25,250
Output,EITE,ROW,ABR,0.3896415620944227,25,250
Output,EITE,ROW,ibr,0.14178439814167554,25,250
Output,EITE,ROW,bcr,0.13546100090482405,25,250
Output,non-EITE,chn,LSR,0.0059547365125478535,25,250
Output,non-EITE,chn,OBR,0.008148314908651422,25,250
Output,non-EITE,chn,ABR,0.0010285453053482385,25,250
Output,non-EITE,chn,ibr,0.007271997569091582,25,250
Output,non-EITE,chn,bcr,0.007412403847362192,25,250
Output,non-EITE,ind,LSR,0.014518778556271705,25,250
Output,non-EITE,ind,OBR,0.015887232534494977,25,250
Output,non-EITE,ind,ABR,0.012377206536529073,25,250
Output,non-EITE,ind,ibr,0.015005114241439799,25,250
Output,non-EITE,ind,bcr,0.015051613145833365,25,250
Output,non-EITE,usa,LSR,-0.3686685508017873,25,250
Output,non-EITE,usa,OBR,-0.3662135342663686,25,250
Output,non-EITE,usa,ABR,-0.40029287457507,25,250
Output,non-EITE,usa,ibr,-0.38733110862686493,25,250
Output,non-EITE,usa,bcr,-0.38351162984818776,25,250
Output,non-EITE,EUR,LSR,0.00878137736506357,25,250
Output,non-EITE,EUR,OBR,0.012945104684458641,25,250
