=C
 Walras check :   0.0000E+00
=C
=C Default price normalization using income for RA.usa
 Walras check :   0.0000E+00
 Level and function values (X and F)
 DX.i_s.EUR               1.0000      0.0000
 DX.i_s.OG20              1.0000      0.0000
 DX.i_s.ROW               1.0000      0.0000
 DX.nfm.chn               1.0000     -0.0000
 DX.nfm.ind               1.0000      0.0000
 DX.nfm.usa               1.0000     -0.0000
 DX.nfm.EUR               1.0000      0.0000
 DX.nfm.OG20              1.0000      0.0000
 DX.nfm.ROW               1.0000      0.0000
 DX.ele.chn               1.0000      0.0000
 DX.ele.ind               1.0000     -0.0000
 DX.ele.usa               1.0000      0.0000
 DX.ele.EUR               1.0000      0.0000
 DX.ele.OG20              1.0000      0.0000
 DX.ele.ROW               1.0000     -0.0000
 DX.chm.chn               1.0000     -0.0000
 DX.chm.ind               1.0000     -0.0000
 DX.chm.usa               1.0000      0.0000
 DX.chm.EUR               1.0000      0.0000
 DX.chm.OG20              1.0000     -0.0000
 DX.chm.ROW               1.0000      0.0000
 DX.c.chn                 1.0000      0.0000
 DX.c.ind                 1.0000      0.0000
 DX.c.usa                 1.0000      0.0000
 DX.c.EUR                 1.0000      0.0000
 DX.c.OG20                1.0000      0.0000
 DX.c.ROW                 1.0000      0.0000
 DX.g.chn                 1.0000      0.0000
 DX.g.ind                 1.0000      0.0000
 DX.g.usa                 1.0000      0.0000
 DX.g.EUR                 1.0000      0.0000
 DX.g.OG20                1.0000      0.0000
 DX.g.ROW                 1.0000      0.0000
 DX.i.chn                 1.0000      0.0000
 DX.i.ind                 1.0000      0.0000
 DX.i.usa                 1.0000      0.0000
 DX.i.EUR                 1.0000      0.0000
 DX.i.OG20                1.0000      0.0000
 DX.i.ROW                 1.0000      0.0000
 M.oil.chn                1.0000     -0.0000
 M.oil.ind                1.0000     -0.0000
 M.oil.usa                1.0000      0.0000
 M.oil.EUR                1.0000     -0.0000
 M.oil.OG20               1.0000     -0.0000
 M.oil.ROW                1.0000      0.0000
 M.gas.chn                1.0000      0.0000
 M.gas.ind                1.0000     -0.0000
 M.gas.usa                1.0000     -0.0000
 M.gas.EUR                1.0000      0.0000
 M.gas.OG20               1.0000     -0.0000
 M.gas.ROW                1.0000      0.0000
 M.col.chn                1.0000      0.0000
 M.col.ind                1.0000      0.0000
 M.col.usa                1.0000      0.0000
 M.col.EUR                1.0000     -0.0000
 M.col.OG20               1.0000     -0.0000
 M.col.ROW                1.0000     -0.0000
 M.cru.chn                1.0000      0.0000
 M.cru.ind                1.0000      0.0000
 M.cru.usa                1.0000      0.0000
 M.cru.EUR                1.0000     -0.0000
 M.cru.OG20               1.0000     -0.0000
 M.cru.ROW                1.0000     -0.0000
 M.roi.chn                1.0000     -0.0000
 M.roi.ind                1.0000      0.0000
 M.roi.usa                1.0000     -0.0000
 M.roi.EUR                1.0000      0.0000
 M.roi.OG20               1.0000     -0.0000
 M.roi.ROW                1.0000      0.0000
 M.ppp.chn                1.0000     -0.0000
 M.ppp.ind                1.0000      0.0000
 M.ppp.usa                1.0000     -0.0000
 M.ppp.EUR                1.0000      0.0000
 M.ppp.OG20               1.0000     -0.0000
 M.ppp.ROW                1.0000     -0.0000
 M.nmm.chn                1.0000      0.0000
 M.nmm.ind                1.0000     -0.0000
 M.nmm.usa                1.0000     -0.0000
 M.nmm.EUR                1.0000     -0.0000
 M.nmm.OG20               1.0000     -0.0000
 M.nmm.ROW                1.0000     -0.0000
 M.i_s.chn                1.0000      0.0000
 M.i_s.ind                1.0000     -0.0000
 M.i_s.usa                1.0000     -0.0000
 M.i_s.EUR                1.0000      0.0000
 M.i_s.OG20               1.0000      0.0000
 M.i_s.ROW                1.0000     -0.0000
 M.nfm.chn                1.0000      0.0000
 M.nfm.ind                1.0000     -0.0000
 M.nfm.usa                1.0000     -0.0000
 M.nfm.EUR                1.0000      0.0000
 M.nfm.OG20               1.0000     -0.0000
 M.nfm.ROW                1.0000      0.0000
 M.ele.chn                1.0000     -0.0000
 M.ele.ind                1.0000      0.0000
 M.ele.usa                1.0000     -0.0000
 M.ele.EUR                1.0000     -0.0000
 M.ele.OG20               1.0000      0.0000
 M.ele.ROW                1.0000      0.0000
 M.chm.chn                1.0000      0.0000
 M.chm.ind                1.0000     -0.0000
 M.chm.usa                1.0000     -0.0000
 M.chm.EUR                1.0000      0.0000
 M.chm.OG20               1.0000      0.0000
 M.chm.ROW                1.0000      0.0000
 YT.roi                   1.0000      0.0000
 A.oil.chn                1.0000      0.0000
 A.oil.ind                1.0000     -0.0000
 A.oil.usa                1.0000     -0.0000
 A.oil.EUR                1.0000      0.0000
 A.oil.OG20               1.0000      0.0000
 A.oil.ROW                1.0000      0.0000
 A.gas.chn                1.0000     -0.0000
 A.gas.ind                1.0000      0.0000
 A.gas.usa                1.0000      0.0000
 A.gas.EUR                1.0000      0.0000
 A.gas.OG20               1.0000      0.0000
 A.gas.ROW                1.0000      0.0000
 A.col.chn                1.0000     -0.0000
 A.col.ind                1.0000     -0.0000
 A.col.usa                1.0000      0.0000
 A.col.EUR                1.0000      0.0000
 A.col.OG20               1.0000     -0.0000
 A.col.ROW                1.0000     -0.0000
 A.cru.chn                1.0000     -0.0000
 A.cru.ind                1.0000      0.0000
 A.cru.usa                1.0000     -0.0000
 A.cru.EUR                1.0000      0.0000
 A.cru.OG20               1.0000      0.0000
 A.cru.ROW                1.0000     -0.0000
 A.roi.chn                1.0000      0.0000
 A.roi.ind                1.0000     -0.0000
 A.roi.usa                1.0000      0.0001
 A.roi.EUR                1.0000     -0.0000
 A.roi.OG20               1.0000      0.0001
 A.roi.ROW                1.0000     -0.0000
 A.ppp.chn                1.0000      0.0000
 A.ppp.ind                1.0000     -0.0000
 A.ppp.usa                1.0000     -0.0000
 A.ppp.EUR                1.0000     -0.0000
 A.ppp.OG20               1.0000     -0.0000
 A.ppp.ROW                1.0000     -0.0000
 A.nmm.chn                1.0000      0.0000
 A.nmm.ind                1.0000     -0.0000
 A.nmm.usa                1.0000     -0.0000
 A.nmm.EUR                1.0000      0.0000
 A.nmm.OG20               1.0000      0.0000
 A.nmm.ROW                1.0000      0.0000
 A.i_s.chn                1.0000     -0.0000
 A.i_s.ind                1.0000      0.0000
 A.i_s.usa                1.0000      0.0000
 A.i_s.EUR                1.0000     -0.0000
 A.i_s.OG20               1.0000     -0.0000
 A.i_s.ROW                1.0000      0.0000
 A.nfm.chn                1.0000     -0.0000
 A.nfm.ind                1.0000      0.0000
 A.nfm.usa                1.0000      0.0000
 A.nfm.EUR                1.0000     -0.0000
 A.nfm.OG20               1.0000     -0.0000
 A.nfm.ROW                1.0000     -0.0000
 A.ele.chn                1.0000     -0.0000
 A.ele.ind                1.0000      0.0000
 A.ele.usa                1.0000     -0.0000
 A.ele.EUR                1.0000     -0.0000
 A.ele.OG20               1.0000     -0.0000
 A.ele.ROW                1.0000      0.0000
 A.chm.chn                1.0000     -0.0000
 A.chm.ind                1.0000     -0.0000
 A.chm.usa                1.0000     -0.0000
 A.chm.EUR                1.0000     -0.0000
 A.chm.OG20               1.0000     -0.0000
 A.chm.ROW                1.0000     -0.0000
 CO2.oil.chn              0.2006      0.0000
 CO2.oil.ind              0.0402      0.0000
 CO2.oil.usa              0.1032      0.0000
 CO2.oil.EUR              0.1004      0.0000
 CO2.oil.OG20             0.1492      0.0000
 CO2.oil.ROW              0.2690      0.0000
 CO2.gas.chn              0.0215      0.0000
 CO2.gas.ind              0.0021      0.0000
 CO2.gas.usa              0.0952      0.0000
 CO2.gas.EUR              0.0086      0.0000
 CO2.gas.OG20             0.1307      0.0000
 CO2.gas.ROW              0.2045      0.0000
 CO2.col.chn              0.1293      0.0000
 CO2.col.ind              0.0012      0.0000
 CO2.col.usa              0.0075      0.0000
 CO2.col.EUR              0.0015      0.0000
 CO2.col.OG20             0.0137      0.0000
